id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,1.0000000,0.3765044,1.0000000,0.6985669,0.4832389,0.7851119,0.6288949,0.6069476,0.2154094
1,1.0000000,0.4507202,1.0000000,0.4763551,0.5694735,0.5000457,0.8305092,0.6648035,0.3277071
2,0.9871904,0.7485352,1.0000000,0.8762655,0.6723781,0.4552393,0.9327181,0.7214710,0.5308373
3,0.9871200,0.6520468,1.0000000,0.7634158,0.7096323,0.4639981,0.7667381,0.5696012,0.2939048
4,0.9871900,0.6322895,1.0000000,0.7416302,0.6421100,0.7191866,0.5486927,0.5832535,0.3510216
5,0.9867355,0.2877608,1.0000000,0.6895188,0.7598628,0.6936397,0.8889258,0.4168439,0.7698365
6,1.0000000,1.0000000,1.0000000,0.6743193,0.6081844,0.4007286,0.8140097,0.5009613,0.1695562
7,1.0000000,0.5641524,1.0000000,0.7879541,0.5248721,0.6782165,0.7686720,0.5874707,0.4197568
8,1.0000000,0.6195125,1.0000000,0.6303250,0.7523757,0.5452545,0.5403992,0.5325397,0.1835876
9,0.9788093,0.3149009,1.0000000,0.8609058,0.7682548,0.6199069,0.7732781,0.4382548,0.3369868
10,1.0000000,0.4784947,1.0000000,0.7868231,0.7819949,0.4950870,0.5709357,0.6053094,0.5745269
11,0.9870284,0.2895291,1.0000000,0.8417357,0.4287284,0.7574856,0.7747008,0.7328792,0.5289921
12,0.6189846,0.5364345,1.0000000,0.8154649,0.4922874,0.6699714,0.8172997,0.6425129,0.3788175
13,1.0000000,0.0505170,1.0000000,0.7284274,0.7137862,0.4279229,0.8781294,0.6427749,0.1560145
14,0.9870476,0.6699856,1.0000000,0.6220740,0.7048603,0.3107770,0.7774416,0.8566101,0.5424212
15,0.9871837,0.4312022,1.0000000,0.8837066,0.6900970,0.5122845,0.8213722,0.7724688,0.4214710
16,0.9012389,0.5094512,1.0000000,0.9222857,0.6346993,0.3209999,0.8811864,0.6777891,0.2965567
17,0.9716281,0.6721340,1.0000000,0.6785795,0.6898820,0.5063110,0.5080814,0.5852493,0.3645586
18,0.9746422,0.1683219,1.0000000,0.7629842,0.5716787,0.3344457,0.7580795,0.3755697,0.5928716
19,0.5505706,1.0000000,1.0000000,0.8784623,0.4416736,0.2123200,0.7423710,0.4701062,0.5399134
20,0.9709618,0.3835549,0.9375000,0.7127665,0.6436479,0.5052830,0.6725772,0.6744719,0.0358459
21,0.9684833,0.2015434,1.0000000,0.6283647,0.5019655,0.7004506,0.5392065,0.7415349,0.0769966
22,0.9629896,0.5725495,1.0000000,0.8826783,0.6543473,0.2317143,0.7569832,0.4805891,0.4134833
23,0.9813538,0.5485076,1.0000000,0.8894912,0.7651519,0.4229611,0.5842001,0.5525452,0.4559467
24,1.0000000,0.6025761,1.0000000,0.8348903,0.2926814,0.7015880,0.8752353,0.5624934,0.4317630
25,0.9670269,1.0000000,1.0000000,0.9138313,0.3299625,0.5520459,0.8583619,0.6061754,0.0883656
26,1.0000000,1.0000000,1.0000000,0.5812612,0.5640918,0.6017975,0.9432206,0.5112598,0.3052332
27,0.9871905,0.7151210,1.0000000,0.7340526,0.8832426,0.6710123,0.8986936,0.4399187,0.5587236
28,0.9637644,0.5416814,1.0000000,0.7035766,0.5088938,0.7505352,0.6617743,0.4078322,0.6979525
29,1.0000000,0.5039293,1.0000000,0.8222998,0.4683681,0.5416368,0.7941048,0.6001278,0.3573891
30,1.0000000,0.6449470,1.0000000,0.7965587,0.7690583,0.3411686,0.8305739,0.5308937,0.5109965
31,0.9867881,1.0000000,1.0000000,0.8654603,0.6932002,0.4745272,0.6747469,0.4456294,0.4271266
32,0.9871905,0.5620291,1.0000000,0.9194918,0.3088122,0.5393383,0.7099816,0.6230315,0.3735989
33,0.9864259,0.5722509,1.0000000,0.7747416,0.5187953,0.4862765,0.9483354,0.6357360,0.2327953
34,0.9385102,0.5175254,0.8750000,0.9387775,0.6619214,0.6147135,0.6523657,0.3616900,0.3096862
35,0.9540000,0.7025798,0.9375000,0.8636251,0.7368419,0.6053684,0.8397215,0.5485121,0.4253017
36,0.9183195,0.5304806,1.0000000,0.6309666,0.6895100,0.3802514,0.6169927,0.5555764,0.5023455
37,0.9729032,0.5287982,1.0000000,0.6707659,0.5667171,0.6436353,0.6077523,0.6926143,0.1277200
38,1.0000000,0.3700687,1.0000000,0.7495416,0.7885321,0.6977939,0.5894858,0.3701266,0.3510316
39,0.9659185,0.2997359,1.0000000,0.7942279,0.7911890,0.5260348,0.7776626,0.5843489,0.4891736
40,0.9413025,0.4506403,1.0000000,0.6635437,0.8621186,0.4892742,0.4042463,0.3051966,0.5585496
41,1.0000000,0.1851224,1.0000000,0.6453764,0.7237541,0.8816573,0.6095172,0.3479950,0.3117566
42,1.0000000,1.0000000,1.0000000,0.7639929,0.5118165,0.4805804,0.9258056,0.4185128,0.2871568
43,0.9864595,0.6379221,1.0000000,0.6385168,0.4615371,0.4376155,0.7683289,0.5020319,0.3239541
