id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9313334,0.1808195,1.0000000,0.7809838,0.6749888,0.4609029,0.7766706,0.7155163,0.6069627
1,0.9509168,0.5959325,1.0000000,0.9502474,0.3645718,0.6251766,0.7194887,0.5402604,0.2344153
2,0.9606272,0.6491246,1.0000000,0.8748963,0.3406540,0.7905235,0.8425605,0.8936155,0.4646136
3,1.0000000,0.3840271,1.0000000,0.5819041,0.7777792,0.3035676,0.5807597,0.8572792,0.7644880
4,0.9877845,0.6195077,1.0000000,0.8051120,0.4906469,0.2572791,0.6876815,0.8095104,0.3869638
5,0.9531650,0.6669866,1.0000000,0.6838910,0.6970670,0.6031407,0.7440373,0.7017912,0.2283283
6,0.7580790,0.4234309,1.0000000,0.7450579,0.8585726,0.6091089,0.6075798,0.6611495,0.3926522
7,1.0000000,0.7780191,1.0000000,0.7304990,0.8161020,0.3137877,0.7448550,0.4610289,0.1868058
8,0.9240810,1.0000000,1.0000000,0.7190803,0.6877820,0.5010719,0.7614297,0.8545773,0.0871023
9,0.9866728,0.5212065,1.0000000,0.7470911,0.8240891,0.4563483,0.8788070,0.6068733,0.1456640
10,1.0000000,1.0000000,1.0000000,0.4737838,0.4351251,0.7970672,0.4438642,0.5150291,0.4916466
11,0.9875543,0.3488870,1.0000000,0.8520361,0.5882609,0.6509138,0.7979097,0.3839975,0.3156217
12,0.9879250,0.6405128,1.0000000,0.3908918,0.5045888,0.5384122,0.8353216,0.8002136,0.3358041
13,0.9872807,0.6717970,1.0000000,0.9381048,0.8138524,0.5614220,0.8835631,0.7914830,0.2568348
14,1.0000000,1.0000000,1.0000000,0.8604282,0.4019285,0.5407258,0.6120172,0.3766189,0.5511671
15,0.9701130,0.4795039,1.0000000,0.8662396,0.4959563,0.5910055,0.9565837,0.5097540,0.4382255
16,1.0000000,0.5459180,1.0000000,0.6154338,0.8201163,0.2862211,0.8244515,0.7295302,0.3142556
17,0.9741796,1.0000000,1.0000000,0.8195336,0.3876389,0.5080564,0.7228586,0.5158593,0.4023368
18,0.9841241,0.3618357,1.0000000,0.7179145,0.5924684,0.6957547,0.7500624,0.6473694,0.4436345
19,1.0000000,0.7350156,1.0000000,0.8150553,0.6236989,0.3736032,0.3484442,0.6350048,0.4704587
20,0.9547706,0.5790934,1.0000000,0.8486794,0.3933737,0.3248634,0.5960286,0.4799703,0.2072333
21,0.9877274,0.5182072,1.0000000,0.8811258,0.9221828,0.4104639,0.7515170,0.6183063,0.5257177
22,0.9354539,0.3598247,1.0000000,0.6891553,0.7875653,0.6248421,0.7373814,0.5905487,0.3309669
23,1.0000000,0.7452206,1.0000000,0.8501095,0.8938796,0.5486827,0.7455946,0.7612318,0.3131667
24,0.9683004,0.4964988,1.0000000,0.7900653,0.7459456,0.3919505,0.7882824,0.8536290,0.2808817
25,0.9619107,1.0000000,1.0000000,0.8114108,0.5640420,0.5720033,0.5007795,0.5862935,0.6177496
26,0.9728993,0.3589533,1.0000000,0.8590771,0.7262801,0.4790159,0.7425940,0.5421622,0.2184394
27,1.0000000,0.7791710,1.0000000,0.7443345,0.7130692,0.3983119,0.9274200,0.5467156,0.3220814
28,1.0000000,0.4238522,1.0000000,0.7741304,0.3041556,0.3500523,0.9045151,0.8291305,0.2613296
29,0.9878557,0.5113256,1.0000000,0.6938031,0.3745176,0.4842342,0.8468988,0.5021523,0.4534395
30,0.7766374,0.1106931,1.0000000,0.7530831,0.7472310,0.6277217,0.8654526,0.3495171,0.4499173
31,0.9873483,0.1580616,1.0000000,0.6627804,0.8763789,0.7621652,0.7476404,0.6996858,0.5561100
32,0.9397833,0.5319105,1.0000000,0.6833573,0.5683405,0.6302058,0.8238395,0.9493152,0.4936365
33,1.0000000,0.4003176,1.0000000,0.9193112,0.6800914,0.5864348,0.7021475,0.6780771,0.2028158
34,1.0000000,0.4603273,1.0000000,0.3665573,0.6332526,0.7195194,0.9042020,0.6632825,0.1531898
35,0.9702910,0.6592597,1.0000000,0.7036781,0.6663771,0.4273026,0.8585373,0.9428314,0.2113734
