id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,1.0000000,1.0000000,1.0000000,0.6528059,0.6820258,0.6299641,0.4896337,0.5442071,0.3769657
1,0.9608092,0.4048821,0.9687500,0.8488837,0.7517274,0.4373750,0.6661139,0.3177818,0.5312873
2,0.9680458,0.3354616,1.0000000,0.8073935,0.6147939,0.6566841,0.4295095,0.5696635,0.5754112
3,0.9176941,1.0000000,1.0000000,0.6264553,0.8961596,0.6177395,0.6399317,0.5837307,0.1368569
4,0.9468444,1.0000000,1.0000000,0.8440893,0.7562781,0.3552301,0.7862218,0.8821055,0.1831803
5,1.0000000,0.5277060,1.0000000,0.4400400,0.6900028,0.5129125,0.6749712,0.6622918,0.2064984
6,0.9062328,0.0262426,0.9062500,0.9413864,0.5158642,0.4055359,0.5560940,0.7271802,0.4743676
7,0.9398443,0.0464306,0.9687500,0.7210270,0.5247901,0.6658254,0.5609735,0.4934332,0.2799702
8,0.9919543,0.6212590,1.0000000,0.5720115,0.7590039,0.5796211,0.5808512,0.7646067,0.4976093
9,0.9919201,0.4122189,0.9687500,0.7115189,0.3386991,0.7194992,0.6048913,0.4467034,0.3586639
10,0.8693170,0.3803770,1.0000000,0.5860945,0.6176072,0.5746571,0.6811738,0.7460844,0.3171314
11,0.8041934,0.2367604,0.9687500,0.7469875,0.6689889,0.4713178,0.8341173,0.6336631,0.3297172
12,1.0000000,0.5183430,1.0000000,0.7037284,0.5526886,0.5482920,0.7768262,0.7595828,0.4382263
13,1.0000000,0.4642366,0.9687500,0.5201038,0.5520323,0.6979290,0.8150949,0.5555617,0.5006404
14,0.9910438,0.5474087,1.0000000,0.6134342,0.7439594,0.4687096,0.8631078,0.7620790,0.4673747
15,0.9916567,0.1013458,1.0000000,0.6192948,0.3669727,0.3699785,0.7914859,0.7500956,0.5874226
16,1.0000000,1.0000000,1.0000000,0.7010210,0.6323008,0.4477212,0.5573721,0.3650713,0.5904935
17,1.0000000,0.8286814,1.0000000,0.5132165,0.8582227,0.4142792,0.5938472,0.6642481,0.4569520
18,0.9443285,0.0137405,1.0000000,0.5746010,0.6489718,0.5071755,0.4906333,0.8136092,0.4286544
19,0.9287544,0.5815917,1.0000000,0.8452111,0.7145851,0.2136766,0.5819068,0.6671388,0.4625355
20,0.7997909,0.5888687,1.0000000,0.5841668,0.5765388,0.4542742,0.6865597,0.4502868,0.1167520
21,0.9873089,0.6398240,1.0000000,0.5977292,0.6009511,0.2675340,0.7821274,0.5257903,0.4979288
22,0.9270806,0.3692397,1.0000000,0.5948817,0.7313988,0.2976237,0.8493639,0.6700173,0.2549486
23,0.9563973,0.3321882,0.9375000,0.9326043,0.7695502,0.5092540,0.9156586,0.6670735,0.5150113
24,1.0000000,0.5935289,1.0000000,0.6724814,0.7431174,0.5919355,0.6043811,0.5464318,0.3403668
25,0.9445723,1.0000000,1.0000000,0.6751258,0.5123969,0.7208566,0.7232584,0.6797576,0.3165274
26,0.9816754,0.2110107,1.0000000,0.7636920,0.3772685,0.6966670,0.7904838,0.3298540,0.1309795
27,0.9919546,0.4799245,0.9375000,0.5560026,0.6153938,0.5322645,0.4959557,0.3584629,0.2984262
28,0.9884809,0.5992611,1.0000000,0.7928528,0.6485213,0.2029428,0.6059405,0.6676827,0.3785753
29,0.9886361,0.3009240,1.0000000,0.6617358,0.4218554,0.7176050,0.5159013,0.6505666,0.2976723
30,0.9742935,0.5657826,1.0000000,0.5705443,0.4273651,0.6466359,0.7455524,0.4134542,0.3005559
31,0.9659357,0.4176185,1.0000000,0.6099579,0.8881581,0.2802598,0.5849308,0.5096371,0.3060846
32,0.9833890,0.1954722,0.9687500,0.8081471,0.5809950,0.6146696,0.9097973,0.6827591,0.6250484
33,0.9784045,0.6482891,1.0000000,0.7391217,0.6141761,0.3775311,0.9189645,0.7244675,0.3375880
34,1.0000000,0.5280307,1.0000000,0.7093235,0.8263839,0.6015251,0.5351531,0.4305745,0.4370342
35,0.9916687,0.2973200,1.0000000,0.5952022,0.6336248,0.2325306,0.8868680,0.6290450,0.2999458
36,0.7737030,0.4288185,1.0000000,0.7330342,0.5449868,0.4612061,0.6765060,0.3452635,0.3601841
37,0.9861741,0.2746864,1.0000000,0.6040823,0.6656073,0.6789791,0.5681634,0.6997920,0.2729487
38,1.0000000,0.4247423,0.9687500,0.7350422,0.7451861,0.4201987,0.7034127,0.5555841,0.4829464
39,0.9900847,0.0124564,1.0000000,0.7312186,0.7934059,0.6626874,0.7895897,0.2606104,0.2907962
40,0.8433876,0.3808767,0.9687500,0.7578724,0.2554765,0.6510669,0.8849182,0.5755402,0.5715614
41,0.9858578,0.1107047,1.0000000,0.7449344,0.6410219,0.6614985,0.6325930,0.5307028,0.3557729
42,1.0000000,0.5779981,1.0000000,0.4830233,0.7436001,0.7371000,0.8795050,0.4869500,0.2025814
43,1.0000000,0.1485074,1.0000000,0.6249150,0.3447660,0.6111919,0.5088075,0.5155118,0.3736804
44,1.0000000,0.5009110,1.0000000,0.7497350,0.7515703,0.5968486,0.5302902,0.4038673,0.1476743
45,0.9919425,0.3749473,1.0000000,0.5963365,0.5714338,0.4174287,0.8988327,0.5036977,0.4851345
46,0.7051951,0.6242192,1.0000000,0.4539055,0.6707247,0.6958929,0.6375406,0.3784785,0.2935321
47,0.9642201,0.4847487,1.0000000,0.8258141,0.6643781,0.4735400,0.7008407,0.4545055,0.4975106
