id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.8914997,0.5454767,1.0000000,0.8658061,0.5531329,0.7924537,0.6726500,0.6660572,0.2339670
1,0.9882813,0.6490807,1.0000000,0.8044226,0.4634478,0.3499012,0.7910129,0.6540117,0.2062185
2,1.0000000,0.5742216,1.0000000,0.8637207,0.5671842,0.5602618,0.8868044,0.3547601,0.2464365
3,1.0000000,0.6521432,1.0000000,0.8351720,0.5580820,0.5857318,0.8121736,0.4686089,0.3400928
4,0.9612077,0.1797691,0.9687500,0.8745013,0.5474155,0.2975870,0.7957278,0.3094975,0.2252295
5,0.9933956,0.5969552,1.0000000,0.8127837,0.8754353,0.6268849,0.7286786,0.7142413,0.2589418
6,0.9177249,0.5454749,1.0000000,0.8738896,0.9290524,0.6821384,0.7620874,0.4540599,0.4116902
7,0.9688306,0.3146905,0.9687500,0.7182319,0.5870633,0.4732031,0.5990238,0.5185225,0.5227722
8,0.8830873,0.2978550,1.0000000,0.6282819,0.5403759,0.6427535,0.6234609,0.8008836,0.3097084
9,0.8914009,0.3030980,1.0000000,0.6801083,0.7810406,0.5595953,0.7637045,0.7870858,0.4134301
10,0.9934174,0.4811859,1.0000000,0.6770026,0.4843554,0.6960596,0.6778179,0.6641708,0.5026032
11,0.9929517,1.0000000,1.0000000,0.7814064,0.3100787,0.5490419,0.5983823,0.7487067,0.2838617
12,0.9339725,0.3978635,1.0000000,0.6826285,0.8686899,0.5077292,0.6889628,0.7294014,0.3366908
13,1.0000000,0.5350935,1.0000000,0.9120593,0.5013187,0.6122817,0.6433230,0.6779613,0.3423861
14,1.0000000,0.4939159,1.0000000,0.8042724,0.6590321,0.4723934,0.9217042,0.2436850,0.2063694
15,0.9699687,0.4515893,1.0000000,0.6744255,0.8677593,0.8499886,0.7346781,0.6821988,0.3410474
16,0.9934069,0.1203314,0.9687500,0.7109797,0.5258895,0.5186212,0.7259432,0.4825431,0.2361285
17,0.8248562,0.8498548,1.0000000,0.6097960,0.8827542,0.6242673,0.4210759,0.4742113,0.2696082
18,0.9887753,0.6653826,1.0000000,0.8892841,0.6362082,0.4716383,0.5748312,0.3982463,0.3092923
19,0.9934220,0.6083751,1.0000000,0.7483564,0.6447969,0.3065826,0.7716915,0.3417864,0.2304745
20,0.7780277,0.0362440,1.0000000,0.8377338,0.5590802,0.6072089,0.7529888,0.4500105,0.6775710
21,0.9902045,0.4125419,1.0000000,0.9348069,0.7018856,0.7261104,0.9326486,0.4862834,0.1137732
22,0.8744523,1.0000000,1.0000000,0.6546755,0.4543239,0.5229351,0.9008429,0.3706577,0.2940157
23,0.9633063,0.5974632,0.9375000,0.7392038,0.6134792,0.5426161,0.7789586,0.8638261,0.3040308
24,1.0000000,0.6144971,1.0000000,0.8279458,0.5947599,0.5908098,0.7672098,0.7564384,0.3737146
25,0.9545781,0.8310531,1.0000000,0.6557556,0.7605325,0.3518472,0.7565807,0.2200221,0.3602470
26,1.0000000,0.1239801,1.0000000,0.5889012,0.7250575,0.5767136,0.5420711,0.3758860,0.1738015
27,0.8991039,0.7011060,1.0000000,0.8175347,0.5506261,0.6933251,0.5152311,0.8371251,0.2328516
28,1.0000000,0.4473344,0.9687500,0.5801637,0.6800917,0.4776352,0.8324323,0.8278918,0.2687450
29,0.8066311,0.2094661,1.0000000,0.8497902,0.6145330,0.4511403,0.8298523,0.7140603,0.4518228
