id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9802493,0.4561662,1.0000000,0.6365214,0.8163918,0.3687815,0.6771782,0.7474924,0.2849195
1,0.9850114,0.6427048,0.9687500,0.9462631,0.6996597,0.4195669,0.6535238,0.7233703,0.4429795
2,0.8879742,0.4360381,1.0000000,0.5805975,0.7430794,0.5125758,0.8597061,0.6380390,0.4559202
3,0.9010351,0.6852675,1.0000000,0.6750831,0.2859446,0.1932032,0.6004038,0.5773050,0.1987761
4,0.9105627,0.6562177,1.0000000,0.8174424,0.2381460,0.6920468,0.8871488,0.4293837,0.3290172
5,0.9587712,0.4762915,1.0000000,0.7351632,0.7004055,0.2325487,0.7218532,0.3720038,0.2025356
6,0.9757229,0.0714805,1.0000000,0.9338994,0.5905588,0.3239179,0.7488743,0.5232957,0.4570485
7,1.0000000,0.5255740,1.0000000,0.7220515,0.8378969,0.4247218,0.8492401,0.6077859,0.3286030
8,0.9491895,0.6035269,0.9687500,0.8264217,0.8646431,0.6312461,0.8201976,0.4940898,0.4165890
9,0.9783616,0.5206732,0.9687500,0.6721020,0.5603851,0.5169613,0.6198084,0.2833857,0.3877969
10,0.9710634,0.6707480,0.9687500,0.6016520,0.9198423,0.6761501,0.8960434,0.7927581,0.2082453
11,0.9550823,0.3656317,1.0000000,0.6772705,0.8624697,0.4593471,0.7694390,0.8076235,0.2952976
12,0.9785357,0.5573125,1.0000000,0.6816504,0.8397634,0.6390826,0.7391517,0.6708165,0.3712154
13,0.5647733,0.0481855,1.0000000,0.5216147,0.6195090,0.3298979,0.5108838,0.4056415,0.3688765
14,0.9640051,0.5714965,1.0000000,0.8792851,0.7602240,0.7038176,0.7027049,0.4354799,0.3384167
15,1.0000000,0.3897850,1.0000000,0.7580882,0.7101557,0.2306913,0.8270447,0.5976337,0.3043795
16,0.9733906,0.0802110,1.0000000,0.7003472,0.5811429,0.5371602,0.7217752,0.5625104,0.6523697
