id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9267361,0.5500419,1.0000000,0.4493358,0.7461463,0.1046179,0.8724830,0.6127655,0.2518094
1,0.7512857,0.5168123,1.0000000,0.8034923,0.7471501,0.5773917,0.5218039,0.7824448,0.2863443
2,1.0000000,0.5852320,1.0000000,0.8358815,0.7371664,0.5370832,0.6991154,0.8087729,0.4439345
3,0.9924886,0.0804534,1.0000000,0.7950333,0.8535868,0.4380311,0.6314525,0.7580745,0.2197090
4,0.9614052,0.4800159,1.0000000,0.8271742,0.7374167,0.5650905,0.9365943,0.6377433,0.4230175
5,0.9647721,0.3464934,1.0000000,0.9032613,0.5816426,0.5430888,0.7335309,0.7604916,0.3766738
6,0.8986950,1.0000000,1.0000000,0.5615059,0.6756751,0.2953344,0.6674912,0.6460009,0.4909365
7,1.0000000,0.6514587,1.0000000,0.7892657,0.3963684,0.4704570,0.7350116,0.6468918,0.1513944
8,0.7206189,0.5720657,1.0000000,0.7510279,0.6282546,0.4119449,0.9367991,0.6030655,0.2632689
9,0.9901770,0.5980553,1.0000000,0.5667252,0.6338595,0.4083793,0.6064395,0.8042750,0.2410268
10,1.0000000,0.0334839,1.0000000,0.7451085,0.2538626,0.3267215,0.8656282,0.8209869,0.3442871
11,0.9534839,0.0056273,1.0000000,0.5171270,0.5296015,0.6174183,0.4363006,0.4903816,0.4890866
12,0.9646837,0.6643605,1.0000000,0.6555722,0.6361338,0.5842071,0.7746199,0.6700054,0.1726523
13,0.8805946,0.7423928,1.0000000,0.5677084,0.5697007,0.7590605,0.8275425,0.7773837,0.5937371
14,0.9890597,1.0000000,1.0000000,0.8344584,0.5921434,0.5081202,0.8123682,0.7131637,0.4152120
15,0.5146465,0.2471187,1.0000000,0.7000632,0.7592894,0.4834878,0.9279775,0.6233588,0.2183134
16,1.0000000,0.6209904,1.0000000,0.6751705,0.6081242,0.4774151,0.5723299,0.7241298,0.6183479
17,0.9805216,0.7487638,1.0000000,0.6825534,0.4644649,0.2448301,0.6713531,0.7213093,0.2756401
18,1.0000000,0.3004147,1.0000000,0.7352329,0.6730974,0.3472786,0.7949960,0.5791399,0.7371135
19,1.0000000,0.7416856,1.0000000,0.4824117,0.7024416,0.5732795,0.8402173,0.9399229,0.2504977
20,0.9927323,0.6300959,1.0000000,0.9208870,0.7197344,0.4495940,0.6679194,0.5094041,0.3261801
21,1.0000000,0.6166353,1.0000000,0.7891518,0.9015356,0.6976000,0.8301714,0.6850671,0.2089011
22,1.0000000,0.3210079,1.0000000,0.5409076,0.7799935,0.7937611,0.8021644,0.7981948,0.4612875
23,0.6811512,0.6747475,1.0000000,0.5925902,0.5895865,0.4024213,0.6719204,0.3880732,0.3759274
24,0.9928025,0.4660813,1.0000000,0.6458879,0.4416184,0.4127958,0.6257086,0.5923527,0.3649043
