id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,1.0000000,0.5229602,1.0000000,0.8997894,0.8185173,0.5845939,0.5147247,0.5450034,0.1426539
1,0.8283670,0.5142983,1.0000000,0.6831916,0.7333779,0.6543661,0.6066947,0.8160119,0.4601837
2,1.0000000,0.4500238,1.0000000,0.6400143,0.3653974,0.4500574,0.6626203,0.7487749,0.6162468
3,1.0000000,0.4266101,1.0000000,0.7285535,0.6382722,0.4574035,0.7282691,0.4561170,0.5306665
4,1.0000000,0.6644746,1.0000000,0.6493730,0.8256340,0.5576033,0.8084768,0.7169284,0.2758403
5,1.0000000,1.0000000,1.0000000,0.7313989,0.8099636,0.2835074,0.6077968,0.6430724,0.1061793
6,1.0000000,0.1776201,1.0000000,0.6130648,0.7498833,0.6952097,0.6188954,0.8517562,0.3462963
7,1.0000000,0.5924522,1.0000000,0.8215436,0.8920284,0.4183931,0.8989576,0.4234227,0.3995493
8,1.0000000,0.4716169,1.0000000,0.6405698,0.7045807,0.4720425,0.6006523,0.6609505,0.3880120
9,0.9524162,0.4341774,1.0000000,0.7713316,0.8746019,0.2519635,0.6843550,0.4020418,0.7040876
10,0.9806314,0.4661496,1.0000000,0.7651935,0.6721473,0.2448729,0.6223537,0.7508648,0.2035585
11,0.9609971,0.4806826,1.0000000,0.8318883,0.6509664,0.4693194,0.6609275,0.7248509,0.3919969
12,1.0000000,0.6361548,1.0000000,0.9081070,0.4366457,0.5325916,0.6164737,0.6249552,0.3826543
13,1.0000000,1.0000000,1.0000000,0.8578767,0.6447896,0.5689467,0.8258049,0.7371563,0.3231126
14,1.0000000,1.0000000,1.0000000,0.7044984,0.7835676,0.4496798,0.4728318,0.5550313,0.4464831
15,0.9523885,0.5211291,1.0000000,0.8920971,0.6892634,0.3695233,0.8871026,0.3231397,0.2249625
16,0.9802540,0.7578970,1.0000000,0.5993555,0.4985092,0.1171659,0.8666707,0.5588315,0.1572999
17,0.8672119,0.5868102,1.0000000,0.5673815,0.6727695,0.4449257,0.7062776,0.6278470,0.3591031
18,1.0000000,1.0000000,1.0000000,0.7116378,0.7594960,0.3712208,0.5776231,0.6861012,0.4357585
19,0.8918297,0.7507011,1.0000000,0.9062418,0.6117738,0.7478898,0.8606375,0.6049543,0.3814090
20,1.0000000,0.5114719,1.0000000,0.7943801,0.5468118,0.6902788,0.8557110,0.8753139,0.4136205
21,0.9350175,0.5694409,1.0000000,0.9096192,0.2201726,0.6340828,0.7807740,0.5852501,0.3275760
22,1.0000000,1.0000000,1.0000000,0.7634933,0.5270657,0.5247495,0.7170208,0.5324552,0.1658277
23,1.0000000,0.7147159,1.0000000,0.8103258,0.3901697,0.4391831,0.9371205,0.8060580,0.3927897
24,0.9907401,0.4618378,1.0000000,0.6027949,0.5012188,0.3720179,0.6114458,0.7333935,0.2164172
25,0.9529942,0.6584291,1.0000000,0.7617666,0.7367259,0.4606444,0.8645697,0.5719637,0.2956793
26,0.8564339,0.9299556,1.0000000,0.7938731,0.5563610,0.3068879,0.8336388,0.7665520,0.5087311
27,1.0000000,0.1708895,1.0000000,0.8771550,0.4669542,0.4993435,0.6405063,0.6045982,0.3188489
28,1.0000000,0.7377603,1.0000000,0.7697107,0.8722396,0.5731473,0.6150891,0.8244503,0.4426036
29,0.8829673,0.6377243,1.0000000,0.4754797,0.6252597,0.2931164,0.5287504,0.5694736,0.3603030
30,1.0000000,0.5407321,1.0000000,0.8737480,0.6862204,0.4897524,0.6362276,0.5801109,0.2299834
31,1.0000000,1.0000000,1.0000000,0.7810112,0.5230128,0.4425058,0.8614177,0.5765842,0.3919088
32,0.9094777,0.3363802,1.0000000,0.7224212,0.6836410,0.6726834,0.4976668,0.8293745,0.2183130
33,1.0000000,0.7982211,1.0000000,0.8147651,0.3740215,0.6857744,0.5940521,0.8864195,0.6103828
34,0.9913704,0.2433806,1.0000000,0.3032719,0.6636758,0.6089890,0.5502418,0.6175659,0.5730641
35,0.7861807,1.0000000,1.0000000,0.7193740,0.6038371,0.7554672,0.6102492,0.6663824,0.1931010
36,0.9697679,0.6964148,1.0000000,0.5792187,0.5434432,0.4429445,0.6280647,0.6828302,0.3872610
37,0.8649684,0.6136263,1.0000000,0.8742806,0.6738418,0.6534697,0.9104362,0.7024963,0.3204347
38,1.0000000,0.6856100,1.0000000,0.6615896,0.4511990,0.7690446,0.8436674,0.7537298,0.3266911
39,0.9334780,0.7022215,1.0000000,0.8958480,0.4751859,0.4282710,0.7378854,0.7978389,0.0928351
40,1.0000000,0.6405629,1.0000000,0.7440788,0.5151775,0.5117881,0.7753834,0.8038337,0.2458239
41,0.9912886,1.0000000,1.0000000,0.6736227,0.5826050,0.3943032,0.8023927,0.6400167,0.2448964
42,0.9909057,0.3008818,1.0000000,0.4300099,0.5001576,0.4644016,0.7999548,0.5888692,0.3647322
43,0.9223301,0.6273730,1.0000000,0.7137171,0.8035123,0.3088091,0.8655063,0.6489182,0.2814448
44,1.0000000,0.6813341,1.0000000,0.7509518,0.6263915,0.4412128,0.7074345,0.7562016,0.4670894
45,1.0000000,0.7018222,1.0000000,0.5355933,0.4463562,0.7003527,0.6070315,0.7234534,0.5890221
46,1.0000000,0.8061191,0.8750000,0.6932015,0.6061803,0.5989312,0.5912862,0.5055569,0.4601692
47,0.9893713,1.0000000,1.0000000,0.8592661,0.7491465,0.4243113,0.6573661,0.7645979,0.2237928
48,0.9387813,0.0392539,0.8750000,0.7379087,0.3632901,0.5200380,0.8992784,0.9201106,0.2612826
49,0.9907938,0.6333866,1.0000000,0.8621552,0.4355357,0.5276776,0.6804007,0.6470268,0.4822115
50,0.6537024,0.3426409,1.0000000,0.8450947,0.2811955,0.5809261,0.7645886,0.7874153,0.1933850
51,1.0000000,0.5678828,1.0000000,0.7549271,0.3181825,0.7831228,0.7229253,0.6333209,0.3197631
52,0.9068571,0.7300931,1.0000000,0.4754373,0.6395281,0.5230642,0.7797454,0.6104395,0.1259218
53,0.9481958,1.0000000,1.0000000,0.6344480,0.6780605,0.6896535,0.6287731,0.4172442,0.5557303
54,0.9913731,0.2826695,1.0000000,0.7388947,0.4865739,0.3825695,0.8538984,0.7227256,0.1234231
55,0.9883643,1.0000000,1.0000000,0.7994114,0.6370933,0.4003013,0.3064909,0.7545057,0.4433257
56,1.0000000,0.4014340,1.0000000,0.5815532,0.5756958,0.4098483,0.8558441,0.7975327,0.3525873
57,0.9628906,0.5658308,1.0000000,0.8583597,0.7119523,0.4642102,0.8676728,0.5445587,0.2750483
58,0.8756613,0.7664889,1.0000000,0.6156362,0.6990998,0.4152556,0.7382324,0.4019322,0.4170024
59,1.0000000,1.0000000,1.0000000,0.4585781,0.8630582,0.6029162,0.7021221,0.5293398,0.4034407
60,0.9147213,0.7815044,1.0000000,0.5312016,0.7467976,0.1570298,0.9169807,0.4579374,0.1984876
61,0.8955310,0.5604854,1.0000000,0.8677139,0.8128771,0.5733203,0.9386256,0.7263310,0.3294697
62,1.0000000,0.6015680,1.0000000,0.8774659,0.7626176,0.6487594,0.7725398,0.6785426,0.4604764
63,1.0000000,1.0000000,1.0000000,0.7131805,0.6771738,0.5327266,0.8900526,0.6244139,0.5319730
64,1.0000000,0.3178909,1.0000000,0.5681728,0.6749575,0.4295335,0.8649704,0.7316890,0.5131770
65,1.0000000,1.0000000,1.0000000,0.8704562,0.8083823,0.6627531,0.5562917,0.7588100,0.5100388
66,0.9047238,0.6919990,1.0000000,0.7049484,0.7845721,0.5013406,0.6341623,0.4568826,0.4196407
67,0.9121343,0.4974426,1.0000000,0.8198847,0.7383549,0.6051321,0.8941624,0.5340070,0.2027448
