id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.6161875,0.3205997,1.0000000,0.8512058,0.2978202,0.6626849,0.5023870,0.8046052,0.4291779
1,0.7518456,0.0343811,1.0000000,0.7612138,0.6629618,0.3908510,0.8138792,0.6581370,0.3681374
2,0.9842004,0.6231946,1.0000000,0.6756891,0.5833783,0.4216493,0.6164659,0.5753202,0.3379503
3,0.9456952,0.1743663,1.0000000,0.5264061,0.5980282,0.4132220,0.3697951,0.7404804,0.3669783
4,0.9713148,0.8280316,1.0000000,0.8586020,0.7128559,0.4798760,0.7474008,0.5642882,0.2120330
5,0.9887071,1.0000000,1.0000000,0.7086630,0.5221148,0.5911416,0.7294225,0.6318553,0.3126288
6,1.0000000,0.5188670,1.0000000,0.8436502,0.5337214,0.8141613,0.9468967,0.4552619,0.1527521
7,0.9031496,0.5477824,1.0000000,0.6595275,0.6686216,0.3255644,0.8412602,0.5217381,0.2296671
8,0.9781484,1.0000000,1.0000000,0.6989643,0.6845567,0.3108994,0.7811888,0.6211821,0.2557251
9,0.9838689,0.6787494,1.0000000,0.8359073,0.5698404,0.3944654,0.7703639,0.6791136,0.0896960
10,0.9884395,0.6969484,1.0000000,0.5434616,0.7479406,0.4554470,0.6965005,0.7658207,0.2565773
11,0.9425937,1.0000000,1.0000000,0.7806353,0.7428208,0.4764657,0.6201235,0.3809484,0.5783331
12,0.9866582,0.0997631,1.0000000,0.6246160,0.7641946,0.4913276,0.7062052,0.8342174,0.2635940
13,0.9258196,1.0000000,1.0000000,0.7855718,0.8522555,0.6511997,0.4692161,0.7800836,0.2422280
14,0.9887096,1.0000000,1.0000000,0.7546915,0.5530638,0.5574099,0.5935713,0.5665257,0.4403109
15,0.9886117,0.2839451,0.8750000,0.7259036,0.5284738,0.3363738,0.5803694,0.2720550,0.2209420
16,0.8923744,0.5670050,1.0000000,0.6849682,0.8311643,0.3113134,0.8505404,0.6142162,0.7617129
17,0.9886672,0.4306475,1.0000000,0.8162363,0.5391026,0.5359701,0.7137809,0.7096737,0.1523494
18,0.8889251,0.6655135,1.0000000,0.6712162,0.4761929,0.6280232,0.7355140,0.7865835,0.3506039
19,0.9385353,1.0000000,1.0000000,0.8133546,0.9068963,0.7615228,0.7073401,0.5023042,0.7089825
20,0.9487692,0.1357919,1.0000000,0.7365628,0.8915831,0.5415318,0.6993175,0.7208777,0.1662114
21,1.0000000,0.6048522,1.0000000,0.6984717,0.7583873,0.2931774,0.7002533,0.5701487,0.2941760
22,0.9683376,0.3162908,1.0000000,0.7126571,0.5242466,0.3586579,0.8787260,0.8553162,0.6054465
23,0.9850197,1.0000000,1.0000000,0.9474899,0.4342325,0.3327793,0.9152795,0.4796101,0.3793208
24,0.9755623,1.0000000,1.0000000,0.6503231,0.6778378,0.6927988,0.6944140,0.8360823,0.0965848
25,0.9886401,0.2549649,1.0000000,0.7474474,0.8014612,0.7435929,0.8808047,0.4552140,0.4207465
26,0.9301453,0.8524983,1.0000000,0.8755854,0.8233989,0.4488622,0.5901675,0.5100902,0.2248848
27,0.9797757,1.0000000,1.0000000,0.5585120,0.4642177,0.4914927,0.8370958,0.7400919,0.2843406
28,0.9868490,0.7138094,1.0000000,0.7658963,0.4853682,0.4061402,0.9228263,0.3863439,0.2076298
29,0.9887028,0.2420940,1.0000000,0.8449169,0.5654251,0.6597435,0.6821352,0.5189672,0.2552141
30,0.9886005,0.1795414,1.0000000,0.8852752,0.4402455,0.5854146,0.8088162,0.6867071,0.3309166
31,0.9680580,1.0000000,1.0000000,0.5110998,0.8124568,0.3898707,0.8162385,0.6699237,0.3161562
32,0.9887120,1.0000000,1.0000000,0.7275084,0.6000311,0.3877512,0.6719899,0.7337231,0.4660981
33,1.0000000,1.0000000,1.0000000,0.6272177,0.3888681,0.3331251,0.8415536,0.5986054,0.4304363
34,0.9841811,1.0000000,1.0000000,0.3946973,0.6844826,0.5279664,0.6273306,0.3717574,0.3528986
35,0.9811898,0.2194356,1.0000000,0.6917983,0.3461424,0.6269567,0.7549635,0.6310255,0.3315855
36,1.0000000,1.0000000,1.0000000,0.9271872,0.5951355,0.4203549,0.8403385,0.6494111,0.4020057
37,0.9828263,0.3157028,1.0000000,0.8701333,0.4156318,0.5684277,0.8165801,0.6637087,0.3450862
38,0.9871082,0.8184021,1.0000000,0.7649385,0.4861121,0.6529323,0.6093702,0.6367231,0.5331171
39,0.9879640,0.7212301,1.0000000,0.8558231,0.4902674,0.5819362,0.4257077,0.6599387,0.4894891
40,1.0000000,1.0000000,1.0000000,0.8516692,0.4532841,0.5144311,0.6108194,0.6434328,0.0517229
41,0.9875783,0.5796751,1.0000000,0.7128400,0.7570785,0.3815228,0.7740764,0.6314689,0.2408133
42,0.9259384,0.8223914,1.0000000,0.7883276,0.5324931,0.5546836,0.8205594,0.4308853,0.2995444
43,0.9671695,1.0000000,1.0000000,0.7061618,0.7970474,0.4618218,0.7477535,0.6052297,0.3325026
44,0.9379624,0.3326599,1.0000000,0.1344753,0.8239012,0.5367557,0.8207367,0.5337496,0.4142739
45,0.8618181,0.0549574,1.0000000,0.7799194,0.7491557,0.2252249,0.8766489,0.7819465,0.1768758
46,0.8245338,0.0336213,1.0000000,0.6411200,0.7231122,0.4773744,0.5593080,0.8012675,0.3652369
47,1.0000000,0.2930484,1.0000000,0.8128829,0.2718959,0.7100238,0.7925086,0.4622066,0.5280894
48,0.9857723,0.2244179,1.0000000,0.5711440,0.6671143,0.6694204,0.4809413,0.8046169,0.2722015
49,0.9064107,0.2936328,1.0000000,0.7769405,0.3717972,0.4374173,0.5005098,0.3920664,0.3527922
50,1.0000000,0.4581574,1.0000000,0.6490122,0.5706548,0.4566954,0.8508740,0.7071229,0.4278029
51,0.9886697,0.4687238,1.0000000,0.9353684,0.9215623,0.5412350,0.5787091,0.5130060,0.3453056
52,0.9887114,1.0000000,1.0000000,0.4814304,0.4349691,0.5605763,0.8664799,0.9179730,0.5828158
53,0.9478493,0.3987027,1.0000000,0.5884422,0.7148951,0.6070588,0.8295191,0.7038259,0.4782212
54,0.9818886,0.7294307,1.0000000,0.7604294,0.7505593,0.4096606,0.6212977,0.6244590,0.0654541
