id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,1.0000000,0.3907458,1.0000000,0.5865795,0.6438985,0.5015437,0.6798317,0.8412538,0.2874920
1,0.8324394,0.4800560,1.0000000,0.4865022,0.4445757,0.6885403,0.9115497,0.5439784,0.3798803
2,0.9736746,0.5102731,1.0000000,0.7111401,0.4917716,0.6518475,0.6642634,0.6698766,0.2121095
3,1.0000000,0.6534187,1.0000000,0.8606768,0.5910350,0.3505116,0.9014141,0.7005530,0.3627543
4,1.0000000,1.0000000,1.0000000,0.6984237,0.5201560,0.5156278,0.8928668,0.2732700,0.3302577
5,0.9146962,0.5196468,1.0000000,0.7381184,0.5493579,0.5307649,0.7060744,0.7956295,0.2854852
6,0.9767915,0.6022907,1.0000000,0.7157767,0.5268387,0.5706304,0.7676399,0.5258332,0.2032561
7,0.9909871,0.5780098,1.0000000,0.9009626,0.6416137,0.3721975,0.8447821,0.6018655,0.6005807
8,1.0000000,0.3214595,1.0000000,0.8426396,0.6512399,0.6286688,0.8338048,0.6831905,0.3975626
9,0.9782093,1.0000000,1.0000000,0.6107541,0.2501757,0.1151957,0.8565127,0.5010012,0.3164067
10,1.0000000,0.6893164,1.0000000,0.7687302,0.6803513,0.2350349,0.7543998,0.7368388,0.2142998
11,0.7371270,0.6540416,1.0000000,0.8118745,0.5857160,0.4919361,0.7623173,0.4588531,0.3437239
12,0.9545329,0.1611833,1.0000000,0.6147055,0.4339488,0.5424394,0.6684566,0.6250032,0.3282293
13,0.9856544,1.0000000,1.0000000,0.7552496,0.5936947,0.4513870,0.5781049,0.4761818,0.1962061
14,0.9842047,0.6427101,1.0000000,0.8500511,0.6837767,0.6760019,0.7520187,0.7633499,0.1362220
15,0.9907237,0.0056167,1.0000000,0.8416411,0.7982758,0.6042294,0.7586303,0.4799324,0.5850034
16,0.9909746,0.1955772,1.0000000,0.5085529,0.8373053,0.4554259,0.6837034,0.4331301,0.3246480
17,0.9808784,0.8129051,1.0000000,0.5170269,0.9061324,0.5679068,0.7105658,0.8808147,0.3299863
18,0.9902035,0.5144039,1.0000000,0.4980099,0.5288726,0.4532034,0.8498943,0.7606977,0.1358155
19,1.0000000,0.5978923,1.0000000,0.5420858,0.7920656,0.7602035,0.8991176,0.5744732,0.2248051
20,1.0000000,1.0000000,1.0000000,0.7911267,0.5909631,0.5183159,0.6216659,0.8379116,0.4563402
21,1.0000000,1.0000000,1.0000000,0.7403113,0.8376202,0.6688001,0.8291240,0.5254890,0.5543226
22,0.9210715,0.7412941,1.0000000,0.8111266,0.7269176,0.3371140,0.8047613,0.8150904,0.1900898
23,0.9593176,0.3651929,1.0000000,0.9524316,0.3868639,0.4114550,0.6714851,0.9100543,0.5996305
24,0.9759458,0.4334779,1.0000000,0.7066658,0.7008652,0.5165623,0.6598947,0.7991844,0.1536715
25,1.0000000,0.5491887,1.0000000,0.5619202,0.4238982,0.3947152,0.8068212,0.6941520,0.4761708
26,0.9687283,0.3618385,1.0000000,0.5600381,0.3806362,0.4210102,0.5990645,0.5694546,0.4288705
27,0.9788890,0.6268936,1.0000000,0.7317571,0.6750631,0.5454386,0.5388722,0.8783260,0.3327094
28,0.8516514,0.4399050,1.0000000,0.6336850,0.4251102,0.5264116,0.7462371,0.7014833,0.3774892
29,1.0000000,0.3178775,1.0000000,0.5996150,0.8570166,0.2228838,0.7335530,0.6255883,0.2443628
30,0.9872991,0.4246464,1.0000000,0.4251642,0.7886312,0.8346199,0.8504690,0.4511734,0.1332817
31,0.6998971,0.2843578,1.0000000,0.6270886,0.7412296,0.5595558,0.7518343,0.5866402,0.6677252
32,0.9211934,0.5002228,1.0000000,0.7168224,0.8634984,0.7063042,0.6325670,0.7748789,0.2444876
33,1.0000000,0.6051039,1.0000000,0.6866746,0.7811847,0.3779448,0.9562664,0.6378475,0.2160144
34,0.9856826,0.3937242,1.0000000,0.4943440,0.5041016,0.4361587,0.6666032,0.8064867,0.1995233
35,0.8561001,0.6709371,1.0000000,0.7260976,0.6745561,0.3110058,0.6431613,0.6794538,0.3807596
36,0.9764571,0.0431569,1.0000000,0.7656421,0.5913176,0.4893543,0.8015208,0.4953596,0.2567431
37,0.9906842,0.5060076,1.0000000,0.6582496,0.7476017,0.3348371,0.5977479,0.5729822,0.0531336
38,1.0000000,0.5484260,1.0000000,0.5357424,0.5165252,0.5379866,0.6391920,0.6458870,0.1847786
39,0.9867383,1.0000000,1.0000000,0.8082744,0.5230394,0.4119056,0.5731353,0.7535214,0.3502418
40,0.8702628,0.3346248,1.0000000,0.5633470,0.6784336,0.6102248,0.7202803,0.5313750,0.2564782
41,0.9875007,0.4795383,1.0000000,0.7192647,0.4533997,0.2650218,0.8358298,0.6624380,0.4029854
42,1.0000000,0.4615917,1.0000000,0.6842967,0.3459316,0.3167267,0.6735605,0.6810502,0.3640211
43,1.0000000,0.6635484,1.0000000,0.5183588,0.6200788,0.4415705,0.5734765,0.5578398,0.5299423
44,0.9910207,1.0000000,1.0000000,0.5176715,0.5113645,0.4823221,0.8450115,0.6032725,0.4375006
45,0.8866307,0.4262841,1.0000000,0.6106994,0.5101978,0.5970950,0.7124196,0.4674647,0.3149242
46,0.9780295,1.0000000,1.0000000,0.8511486,0.5294144,0.4030995,0.8348099,0.5966976,0.3953819
47,0.9415350,0.4594078,1.0000000,0.6657110,0.6568466,0.4050785,0.7404339,0.2671836,0.1159674
48,0.9575027,0.4230649,1.0000000,0.8096458,0.8735676,0.5998431,0.5881861,0.4888169,0.3066599
49,0.7782045,0.5593111,1.0000000,0.9273172,0.6244012,0.0823057,0.5063332,0.4649882,0.3094163
50,0.9089996,0.7678156,1.0000000,0.6229108,0.7615132,0.6624097,0.6148789,0.7133084,0.1333241
51,0.9906944,0.3273566,1.0000000,0.8682394,0.7512969,0.6006848,0.7504199,0.4877881,0.4934464
52,0.9673926,0.6418148,1.0000000,0.6431224,0.6312464,0.6089769,0.8097233,0.8125615,0.2997338
